"","country","lat","lng","confirmed","deaths","iso3c","land_area","pop_density","pop_largest_city","gdp_capita_2018","life_expectancy","pop_0_14_2018","pop_15_64_2018","pop_65_over_2018","pop_2018","iso2c","region","incomeID","income","confirmed_per_100k","deaths_per_100k","mortality_rate"
"1","Afghanistan",33,65,607,18,"AFG",652860,56.937760009803,4011770,563.825662667794,64.486,43.0901755117794,54.3248975483403,2.58492693988024,37172386,"AF","South Asia","LIC","Low income",1.63293257527241,0.0484230417708457,2.96540362438221
"2","Albania",41.1533,20.1683,446,23,"ALB",27400,104.612262773723,475577,5079.40111990631,78.458,17.672873724304,68.5823903647225,13.7447359109736,2866376,"AL","Europe & Central Asia","UMC","Upper middle income",15.5597172178388,0.802406941727115,5.15695067264574
"3","Algeria",28.0339,1.6596,1914,293,"DZA",2381740,17.7300750711665,2693542,4764.37563637977,76.693,30.1486785862257,63.4888248687945,6.36249654497986,42228429,"DZ","Middle East & North Africa","UMC","Upper middle income",4.53249160654307,0.693845371325559,15.3082549634274
"4","Andorra",42.5063,1.5218,638,29,"AND",470,163.842553191489,NA,44569.7830090145,NA,NA,NA,NA,77006,"AD","Europe & Central Asia","HIC","High income",828.506869594577,37.6594031633899,4.54545454545455
"5","Angola",-11.2027,17.8739,19,2,"AGO",1246700,24.7130520574316,7774200,3229.61973975117,60.782,46.8089247095412,50.9747016426956,2.21637364776329,30809762,"AO","Sub-Saharan Africa ","LMC","Lower middle income",0.0616687658930958,0.00649144904137851,10.5263157894737
"6","Antigua and Barbuda",17.0608,-61.7964,21,2,"ATG",440,218.831818181818,NA,15134.8841569088,76.885,22.0810917475022,69.1190827326922,8.79982551980558,96286,"AG","Latin America & Caribbean ","HIC","High income",21.8100243025985,2.07714517167605,9.52380952380952
"7","Argentina",-38.4161,-63.6167,2142,90,"ARG",2736690,16.2585100979651,14966530,10043.5085520823,76.52,24.7609338351238,64.1212772887989,11.1177888760774,44494502,"AR","Latin America & Caribbean ","UMC","Upper middle income",4.81407792809997,0.20227218185294,4.20168067226891
"8","Armenia",40.0691,45.0382,1013,13,"ARM",28470,103.680224798033,1080324,4406.70643395879,74.945,20.6334219249969,68.11276041799,11.2538176570131,2951776,"AM","Europe & Central Asia","UMC","Upper middle income",34.3183222575155,0.440412822653209,1.28331688055281
"9","Australia",-35.4735,149.0124,103,2,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.412285499462668,0.00800554367888676,1.94174757281553
"10","Australia",-35.4735,149.0124,103,24,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.412285499462668,0.0960665241466411,23.3009708737864
"11","Australia",-35.4735,149.0124,103,0,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.412285499462668,0,0
"12","Australia",-35.4735,149.0124,103,5,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.412285499462668,0.0200138591972169,4.85436893203883
"13","Australia",-35.4735,149.0124,103,4,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.412285499462668,0.0160110873577735,3.88349514563107
"14","Australia",-35.4735,149.0124,103,5,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.412285499462668,0.0200138591972169,4.85436893203883
"15","Australia",-35.4735,149.0124,103,14,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.412285499462668,0.0560388057522073,13.5922330097087
"16","Australia",-35.4735,149.0124,103,6,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.412285499462668,0.0240166310366603,5.8252427184466
"17","Australia",-33.8688,151.2093,2857,2,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",11.4359191452897,0.00800554367888676,0.0700035001750088
"18","Australia",-33.8688,151.2093,2857,24,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",11.4359191452897,0.0960665241466411,0.840042002100105
"19","Australia",-33.8688,151.2093,2857,0,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",11.4359191452897,0,0
"20","Australia",-33.8688,151.2093,2857,5,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",11.4359191452897,0.0200138591972169,0.175008750437522
"21","Australia",-33.8688,151.2093,2857,4,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",11.4359191452897,0.0160110873577735,0.140007000350018
"22","Australia",-33.8688,151.2093,2857,5,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",11.4359191452897,0.0200138591972169,0.175008750437522
"23","Australia",-33.8688,151.2093,2857,14,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",11.4359191452897,0.0560388057522073,0.490024501225061
"24","Australia",-33.8688,151.2093,2857,6,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",11.4359191452897,0.0240166310366603,0.210010500525026
"25","Australia",-12.4634,130.8456,28,2,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.112077611504415,0.00800554367888676,7.14285714285714
"26","Australia",-12.4634,130.8456,28,24,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.112077611504415,0.0960665241466411,85.7142857142857
"27","Australia",-12.4634,130.8456,28,0,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.112077611504415,0,0
"28","Australia",-12.4634,130.8456,28,5,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.112077611504415,0.0200138591972169,17.8571428571429
"29","Australia",-12.4634,130.8456,28,4,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.112077611504415,0.0160110873577735,14.2857142857143
"30","Australia",-12.4634,130.8456,28,5,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.112077611504415,0.0200138591972169,17.8571428571429
"31","Australia",-12.4634,130.8456,28,14,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.112077611504415,0.0560388057522073,50
"32","Australia",-12.4634,130.8456,28,6,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.112077611504415,0.0240166310366603,21.4285714285714
"33","Australia",-28.0167,153.4,983,2,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",3.93472471817284,0.00800554367888676,0.203458799593082
"34","Australia",-28.0167,153.4,983,24,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",3.93472471817284,0.0960665241466411,2.44150559511699
"35","Australia",-28.0167,153.4,983,0,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",3.93472471817284,0,0
"36","Australia",-28.0167,153.4,983,5,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",3.93472471817284,0.0200138591972169,0.508646998982706
"37","Australia",-28.0167,153.4,983,4,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",3.93472471817284,0.0160110873577735,0.406917599186165
"38","Australia",-28.0167,153.4,983,5,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",3.93472471817284,0.0200138591972169,0.508646998982706
"39","Australia",-28.0167,153.4,983,14,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",3.93472471817284,0.0560388057522073,1.42421159715158
"40","Australia",-28.0167,153.4,983,6,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",3.93472471817284,0.0240166310366603,0.610376398779247
"41","Australia",-34.9285,138.6007,429,2,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",1.71718911912121,0.00800554367888676,0.466200466200466
"42","Australia",-34.9285,138.6007,429,24,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",1.71718911912121,0.0960665241466411,5.59440559440559
"43","Australia",-34.9285,138.6007,429,0,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",1.71718911912121,0,0
"44","Australia",-34.9285,138.6007,429,5,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",1.71718911912121,0.0200138591972169,1.16550116550117
"45","Australia",-34.9285,138.6007,429,4,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",1.71718911912121,0.0160110873577735,0.932400932400932
"46","Australia",-34.9285,138.6007,429,5,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",1.71718911912121,0.0200138591972169,1.16550116550117
"47","Australia",-34.9285,138.6007,429,14,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",1.71718911912121,0.0560388057522073,3.26340326340326
"48","Australia",-34.9285,138.6007,429,6,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",1.71718911912121,0.0240166310366603,1.3986013986014
"49","Australia",-41.4545,145.9707,133,2,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.532368654645969,0.00800554367888676,1.50375939849624
"50","Australia",-41.4545,145.9707,133,24,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.532368654645969,0.0960665241466411,18.0451127819549
"51","Australia",-41.4545,145.9707,133,0,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.532368654645969,0,0
"52","Australia",-41.4545,145.9707,133,5,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.532368654645969,0.0200138591972169,3.7593984962406
"53","Australia",-41.4545,145.9707,133,4,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.532368654645969,0.0160110873577735,3.00751879699248
"54","Australia",-41.4545,145.9707,133,5,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.532368654645969,0.0200138591972169,3.7593984962406
"55","Australia",-41.4545,145.9707,133,14,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.532368654645969,0.0560388057522073,10.5263157894737
"56","Australia",-41.4545,145.9707,133,6,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.532368654645969,0.0240166310366603,4.51127819548872
"57","Australia",-37.8136,144.9631,1268,2,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",5.0755146924142,0.00800554367888676,0.157728706624606
"58","Australia",-37.8136,144.9631,1268,24,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",5.0755146924142,0.0960665241466411,1.89274447949527
"59","Australia",-37.8136,144.9631,1268,0,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",5.0755146924142,0,0
"60","Australia",-37.8136,144.9631,1268,5,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",5.0755146924142,0.0200138591972169,0.394321766561514
"61","Australia",-37.8136,144.9631,1268,4,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",5.0755146924142,0.0160110873577735,0.315457413249211
"62","Australia",-37.8136,144.9631,1268,5,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",5.0755146924142,0.0200138591972169,0.394321766561514
"63","Australia",-37.8136,144.9631,1268,14,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",5.0755146924142,0.0560388057522073,1.10410094637224
"64","Australia",-37.8136,144.9631,1268,6,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",5.0755146924142,0.0240166310366603,0.473186119873817
"65","Australia",-31.9505,115.8605,514,2,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",2.0574247254739,0.00800554367888676,0.389105058365759
"66","Australia",-31.9505,115.8605,514,24,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",2.0574247254739,0.0960665241466411,4.66926070038911
"67","Australia",-31.9505,115.8605,514,0,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",2.0574247254739,0,0
"68","Australia",-31.9505,115.8605,514,5,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",2.0574247254739,0.0200138591972169,0.972762645914397
"69","Australia",-31.9505,115.8605,514,4,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",2.0574247254739,0.0160110873577735,0.778210116731518
"70","Australia",-31.9505,115.8605,514,5,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",2.0574247254739,0.0200138591972169,0.972762645914397
"71","Australia",-31.9505,115.8605,514,14,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",2.0574247254739,0.0560388057522073,2.72373540856031
"72","Australia",-31.9505,115.8605,514,6,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",2.0574247254739,0.0240166310366603,1.16731517509728
"73","Austria",47.5162,14.5501,13945,350,"AUT",82522.998046875,107.206926667578,1900547,50019.8702125281,81.6439024390244,14.2979476320233,66.7004859083869,19.0015664595899,8840521,"AT","Europe & Central Asia","HIC","High income",157.739572136077,3.95904268538019,2.50986016493367
"74","Azerbaijan",40.1431,47.5769,1098,11,"AZE",82670,120.265319946776,2285729,5768.99240538437,72.864,23.3695698603865,70.4352473888986,6.19518275071493,9939800,"AZ","Europe & Central Asia","UMC","Upper middle income",11.046499929576,0.110666210587738,1.00182149362477
"75","Bahamas",25.0343,-77.3963,46,8,"BHS",10010,38.5254745254745,NA,27261.2144822129,73.752,22.4848756732367,70.2575219701429,7.25760235662035,385640,"BS","Latin America & Caribbean ","HIC","High income",11.9282232133596,2.07447360232341,17.3913043478261
"76","Bahrain",26.0275,50.55,1136,6,"BHR",778.000030517578,2017.27369979138,564631,21438.4099004451,77.163,19.2543101196218,78.3193560020542,2.42633387832394,1569439,"BH","Middle East & North Africa","HIC","High income",72.3825519819502,0.382302211172272,0.528169014084507
"77","Bangladesh",23.685,90.3563,621,34,"BGD",130170,1239.57931166936,19578421,1203.21626488899,72.32,27.706022482501,67.1355868778783,5.15839063962068,161356039,"BD","South Asia","LMC","Lower middle income",0.384863190648848,0.0210714146248967,5.47504025764895
"78","Barbados",13.1939,-59.5432,71,4,"BRB",430,666.606976744186,NA,16018.0411266686,79.081,17.342948147683,66.8543578901832,15.8026939621338,286641,"BB","Latin America & Caribbean ","HIC","High income",24.769659609058,1.395473780792,5.63380281690141
"79","Belarus",53.7098,27.9534,2578,26,"BLR",202988.0078125,46.7287999040892,2004672,6744.49866958786,74.1756097560976,16.8659430504801,68.2889087752101,14.8451481743098,9483499,"BY","Europe & Central Asia","UMC","Upper middle income",27.1840593856761,0.274160412733739,1.00853374709077
"80","Belgium",50.8333,4,29647,3600,"BEL",30280,377.214927344782,2049510,47166.4843582889,81.5951219512195,17.0554227603857,64.1558335012748,18.7887437383395,11433256,"BE","Europe & Central Asia","HIC","High income",259.304960896528,31.4870934403988,12.1428812358755
"81","Belize",17.1899,-88.4976,14,2,"BLZ",22810,16.7939938623411,NA,4248.99905543377,74.496,30.2797653698662,64.9837758535624,4.73645877657144,383071,"BZ","Latin America & Caribbean ","UMC","Upper middle income",3.65467498192241,0.522096425988916,14.2857142857143
"82","Benin",9.3077,2.3158,35,1,"BEN",112760,101.853919829727,927545,897.198783313794,61.47,42.4476823945995,54.2987123079372,3.25360529746338,11485048,"BJ","Sub-Saharan Africa ","LIC","Low income",0.304744046346171,0.00870697275274775,2.85714285714286
"83","Bhutan",27.5142,90.4336,5,0,"BTN",38143.9990234375,19.7775277714448,NA,3128.00090457946,71.46,25.7713537330923,68.2256345541021,6.00301171280561,754394,"BT","South Asia","LMC","Lower middle income",0.662783638257992,0,0
"84","Bolivia",-16.2902,-63.5887,300,24,"BOL",1083300,10.4801458506416,1814087,2559.51131656583,71.239,31.0735477456373,61.7345048621782,7.19194739218447,11353142,"BO","Latin America & Caribbean ","LMC","Lower middle income",2.64244030419068,0.211395224335254,8
"85","Bosnia and Herzegovina",43.9159,17.6791,1009,39,"BIH",51200,64.92048828125,342577,6032.24619878815,77.262,14.7662176493152,68.7634648796227,16.4703174710621,3323929,"BA","Europe & Central Asia","UMC","Upper middle income",30.3556423738293,1.17331026023721,3.86521308225966
"86","Botswana",-22.3285,24.6849,13,1,"BWA",566730,3.97742487604327,NA,8031.01380349216,69.275,34.1129460158256,61.6631796378814,4.22387434629301,2254126,"BW","Sub-Saharan Africa ","UMC","Upper middle income",0.576720201089025,0.0443630923914635,7.69230769230769
"87","Brazil",-14.235,-51.9253,22192,1223,"BRA",8358140,25.0617162430876,21650181,11026.2412096851,75.672,21.3340719108545,69.7430902567055,8.92283783244003,209469333,"BR","Latin America & Caribbean ","UMC","Upper middle income",10.5943909221308,0.583856349034157,5.51099495313627
"88","Brunei",4.5353,114.7277,136,1,"BRN",5270,81.3969639468691,NA,31436.8681969939,75.722,23.0264614896856,72.1003909428086,4.87314756750582,428962,"BN","East Asia & Pacific","HIC","High income",31.7044400203281,0.233120882502413,0.735294117647059
"89","Bulgaria",42.7339,25.4858,675,29,"BGR",108560,64.7035372144436,1272418,8651.09480143084,74.8658536585366,14.5954653179814,64.3826202477506,21.021914434268,7025037,"BG","Europe & Central Asia","UMC","Upper middle income",9.60849031827163,0.412809213673892,4.2962962962963
"90","Burkina Faso",12.2383,-1.5616,497,27,"BFA",273600,72.1912828947368,2531381,712.036087765552,61.174,44.9480813221662,52.6449378491703,2.40698082866355,19751535,"BF","Sub-Saharan Africa ","LIC","Low income",2.51626012864317,0.136698236364921,5.43259557344064
"91","Burma",21.9162,95.956,41,4,"MMR",653080,82.2386154835549,5157461,1571.90721650413,66.867,26.3710482845116,67.8443097829163,5.78464193257209,53708395,"MM","East Asia & Pacific","LMC","Lower middle income",0.0763381590531611,0.00744762527347913,9.75609756097561
"92","Burundi",-3.3731,29.9189,5,0,"BDI",25680,435.178271028037,898968,210.804225834169,61.247,45.5016807491186,52.2513787905443,2.24694046033717,11175378,"BI","Sub-Saharan Africa ","LIC","Low income",0.0447412159123387,0,0
"93","Cabo Verde",16.5388,-23.0418,8,1,"CPV",4030,134.929776674938,NA,3759.55324881898,72.782,28.7777669479759,66.6129058953559,4.60932715666821,543767,"CV","Sub-Saharan Africa ","LMC","Lower middle income",1.4712183711038,0.183902296387975,12.5
"94","Cambodia",11.55,104.9167,122,0,"KHM",176520,92.0564128710628,1952329,1205.04094079918,69.57,31.2014147627244,64.2299052197099,4.56868001756576,16249798,"KH","East Asia & Pacific","LMC","Lower middle income",0.750778563524297,0,0
"95","Cameroon",3.848,11.5021,820,12,"CMR",472710,53.3439889149796,3655656,1500.70389669986,58.921,42.6315798448676,54.6395427998918,2.72887735524057,25216237,"CM","Sub-Saharan Africa ","LMC","Lower middle income",3.2518729896138,0.0475883852138604,1.46341463414634
"96","Canada",53.9333,-116.5765,1567,40,"CAN",9093510,4.07530821431988,6082425,51391.7084172258,81.9487804878049,15.8702508744405,66.8977424466943,17.2320066788651,37057765,"CA","North America","HIC","High income",4.2285334800952,0.107939591068161,2.55264837268666
"97","Canada",53.9333,-116.5765,1567,58,"CAN",9093510,4.07530821431988,6082425,51391.7084172258,81.9487804878049,15.8702508744405,66.8977424466943,17.2320066788651,37057765,"CA","North America","HIC","High income",4.2285334800952,0.156512407048833,3.70134014039566
"98","Canada",53.9333,-116.5765,1567,0,"CAN",9093510,4.07530821431988,6082425,51391.7084172258,81.9487804878049,15.8702508744405,66.8977424466943,17.2320066788651,37057765,"CA","North America","HIC","High income",4.2285334800952,0,0
"99","Canada",53.9333,-116.5765,1567,4,"CAN",9093510,4.07530821431988,6082425,51391.7084172258,81.9487804878049,15.8702508744405,66.8977424466943,17.2320066788651,37057765,"CA","North America","HIC","High income",4.2285334800952,0.0107939591068161,0.255264837268666
"100","Canada",53.9333,-116.5765,1567,0,"CAN",9093510,4.07530821431988,6082425,51391.7084172258,81.9487804878049,15.8702508744405,66.8977424466943,17.2320066788651,37057765,"CA","North America","HIC","High income",4.2285334800952,0,0
"101","Canada",53.9333,-116.5765,1567,3,"CAN",9093510,4.07530821431988,6082425,51391.7084172258,81.9487804878049,15.8702508744405,66.8977424466943,17.2320066788651,37057765,"CA","North America","HIC","High income",4.2285334800952,0.00809546933011206,0.1914486279515
"102","Canada",53.9333,-116.5765,1567,2,"CAN",9093510,4.07530821431988,6082425,51391.7084172258,81.9487804878049,15.8702508744405,66.8977424466943,17.2320066788651,37057765,"CA","North America","HIC","High income",4.2285334800952,0.00539697955340804,0.127632418634333
"103","Canada",53.9333,-116.5765,1567,274,"CAN",9093510,4.07530821431988,6082425,51391.7084172258,81.9487804878049,15.8702508744405,66.8977424466943,17.2320066788651,37057765,"CA","North America","HIC","High income",4.2285334800952,0.739386198816901,17.4856413529036
"104","Canada",53.9333,-116.5765,1567,0,"CAN",9093510,4.07530821431988,6082425,51391.7084172258,81.9487804878049,15.8702508744405,66.8977424466943,17.2320066788651,37057765,"CA","North America","HIC","High income",4.2285334800952,0,0
"105","Canada",53.9333,-116.5765,1567,328,"CAN",9093510,4.07530821431988,6082425,51391.7084172258,81.9487804878049,15.8702508744405,66.8977424466943,17.2320066788651,37057765,"CA","North America","HIC","High income",4.2285334800952,0.885104646758918,20.9317166560306
"106","Canada",53.9333,-116.5765,1567,4,"CAN",9093510,4.07530821431988,6082425,51391.7084172258,81.9487804878049,15.8702508744405,66.8977424466943,17.2320066788651,37057765,"CA","North America","HIC","High income",4.2285334800952,0.0107939591068161,0.255264837268666
